longitude [°],latitude [°]
12.690528,61.636423
12.690474,61.636427
12.690436,61.636433
12.690389,61.636440
12.690341,61.636445
12.690291,61.636448
12.690249,61.636453
12.690213,61.636459
12.690168,61.636463
12.690118,61.636468
12.690064,61.636475
12.690016,61.636478
12.689961,61.636482
12.689921,61.636482
12.689867,61.636482
12.689812,61.636484
12.689770,61.636482
12.689731,61.636479
12.689678,61.636475
12.689634,61.636472
12.689579,61.636466
12.689529,61.636462
12.689476,61.636457
12.689424,61.636448
12.689381,61.636440
12.689333,61.636434
12.689295,61.636428
12.689259,61.636418
12.689217,61.636413
12.689178,61.636405
12.689142,61.636395
12.689103,61.636389
12.689054,61.636379
12.689019,61.636370
12.688983,61.636364
12.688924,61.636355
12.688879,61.636347
12.688840,61.636340
12.688799,61.636332
12.688758,61.636326
12.688718,61.636320
12.688671,61.636309
12.688621,61.636300
12.688570,61.636290
12.688530,61.636281
12.688495,61.636272
12.688444,61.636263
12.688395,61.636255
12.688359,61.636247
12.688315,61.636239
12.688271,61.636230
12.688237,61.636222
12.688193,61.636213
12.688148,61.636204
12.688105,61.636194
12.688059,61.636183
12.688013,61.636173
12.687979,61.636164
12.687934,61.636152
12.687903,61.636141
12.687864,61.636125
12.687832,61.636105
12.687810,61.636090
12.687769,61.636080
12.687724,61.636076
12.687675,61.636078
12.687625,61.636078
12.687588,61.636068
12.687563,61.636053
12.687591,61.636071
12.687604,61.636091
12.687617,61.636074
12.687608,61.636093
12.687625,61.636075
12.687664,61.636089
12.687695,61.636107
12.687727,61.636125
12.687752,61.636144
12.687745,61.636163
12.687703,61.636176
12.687680,61.636191
12.687644,61.636204
12.687609,61.636218
12.687568,61.636236
12.687535,61.636250
12.687514,61.636272
12.687533,61.636289
12.687525,61.636309
12.687476,61.636319
12.687465,61.636338
12.687435,61.636351
12.687408,61.636364
12.687396,61.636389
12.687360,61.636403
12.687319,61.636409
12.687286,61.636399
12.687276,61.636428
12.687286,61.636446
12.687303,61.636464
